scholar_id,title,year
lURTCEIAAAAJ,Design a data warehouse schema from document-oriented database,2019
lURTCEIAAAAJ,Group extraction from professional social network using a new semi-supervised hierarchical clustering,2014
lURTCEIAAAAJ,A survey of user-centric data warehouses: from personalization to recommendation,2011
lURTCEIAAAAJ,Two-ETL phases for data warehouse creation: Design and implementation,2015
lURTCEIAAAAJ,: Semi-supervised Hierarchical Active Clustering Based on Ranking Constraints,2012
lURTCEIAAAAJ,Towards cloud-based data warehouse as a service for big data analytics,2016
lURTCEIAAAAJ,A new semi-supervised hierarchical active clustering based on ranking constraints for analysts groupization,2013
lURTCEIAAAAJ,Towards data warehouse schema design from social networks-dynamic discovery of multidimensional concepts,2015
lURTCEIAAAAJ,Towards Ontology-Based Clustering of Handicraft Women,2014
lURTCEIAAAAJ,Approche d'aide à la conception automatisée d'entrepôt de données: Guide de modélisation,2013
lURTCEIAAAAJ,Building Con? ict-Aware Profiling Ontology from Data Warehouses,2012
lURTCEIAAAAJ,A formal algebra for document-oriented NoSQL data warehouses: formalisation and evaluation,2025
lURTCEIAAAAJ,Data Migration in Graph-oriented Databases.,2020
lURTCEIAAAAJ,FOAF-based clustering of handicraft women using ranked features,2015
lURTCEIAAAAJ,Usage Des Mesures Pour La G\'en\'eration Des R\egles d'Associations Cycliques,2011
lURTCEIAAAAJ,Towards data warehouse from open data: Case of COVID-19,2021
lURTCEIAAAAJ,Graph matching in graph-oriented databases,2020
lURTCEIAAAAJ,Extending ETL for NoSQL: A validated Framework for Document-Oriented Warehousing,2025
lURTCEIAAAAJ,Community Detection-Based Methodology to Data Warehouse Modeling from Social Network: Application to Handicraft Women Social Network,2017
lURTCEIAAAAJ,s% 긔 ccV: Semi-supervised Hierarchical Active Clustering Based on Ranking Constraints,2012
lURTCEIAAAAJ,Usage Des Mesures Pour La Génération Des Règles d'Associations Cycliques,2011
JSQbyBgAAAAJ,Computer-Aided Early Melanoma Brain-Tumor Detection Using Deep-Learning Approach,2023
JSQbyBgAAAAJ,A type-2 fuzzy logic recommendation system for adaptive teaching,2017
JSQbyBgAAAAJ,AR-Therapist: Design and Simulation of an AR-Game Environment as a CBT for Patients with ADHD,2019
JSQbyBgAAAAJ,DeepSVDNet: A Deep Learning-Based Approach for Detecting and Classifying Vision-Threatening Diabetic Retinopathy in Retinal Fundus Images,2024
JSQbyBgAAAAJ,Explainable AI-driven intelligent system for precision forecasting in cardiovascular disease,2025
JSQbyBgAAAAJ,Intelligent Detection System for Multi-Step Cyber-Attack Based on Machine Learning,2023
JSQbyBgAAAAJ,Aspect-Based Sentiment Analysis for Social Multimedia: A Hybrid Computational Framework.,2023
JSQbyBgAAAAJ,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Using a Non-Convex Distance Metric,2024
JSQbyBgAAAAJ,AI-Driven Innovations in Tourism: Developing a Hybrid Framework for the Saudi Tourism Sector,2025
JSQbyBgAAAAJ,An optimal distribution of RSU for improving self-driving vehicle connectivity,2022
JSQbyBgAAAAJ,Multi-model Ensemble Based Approach for Heart Disease Diagnosis,2022
JSQbyBgAAAAJ,Brain tumor classification using GAN-augmented data with autoencoders and Swin Transformers,2025
JSQbyBgAAAAJ,Forex Investment Optimization Using Instantaneous Stochastic Gradient Ascent—Formulation of an Adaptive Machine Learning Approach,2022
JSQbyBgAAAAJ,Intelligent Mobile Coronavirus Recognition Centre Based on IEEE 802.15. 4.,2021
JSQbyBgAAAAJ,A modified vision transformer framework for image-based land cover segmentation in rural architectural design and planning,2025
JSQbyBgAAAAJ,An interval type-2 fuzzy logic based system for improved instruction within intelligent e-learning platforms,2015
JSQbyBgAAAAJ,Harnessing Machine Learning for Arabic COVID-19 Omicron News Classification: A Comparative Study.,2023
JSQbyBgAAAAJ,A Safeguard Agent for Intelligent Health-care Environments,2023
JSQbyBgAAAAJ,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Based on Hassanat Distance Metric,2024
JSQbyBgAAAAJ,"Hybrid MRUNet+: Enhanced Multi‐Structure Retinal Segmentation for Optic Cup, Disc, and Vascular Features in Complex Imaging Conditions",2026
JSQbyBgAAAAJ,2OM-Pred: prediction of 2-O-methylation sites in ribonucleic acid using diverse classifiers,2025
JSQbyBgAAAAJ,"Dramatic Increase in Fear-Related Discussion on Twitter during COVID-19: Analysis, Topic Modeling and Tweets Classification",2022
JSQbyBgAAAAJ,Uncovering Temporal Trends of Desolation Among Social Media Users: A Data-Driven Analysis,2026
