scholar_id,missing_title,year,best_match_paper_id,best_match_title,similarity_score,verdict
lURTCEIAAAAJ,Community Detection-Based Methodology to Data Warehouse Modeling from Social Network: Application to Handicraft Women Social Network,2017,4714,Community Detection-Based Methodology to Data Warehouse Modeling from Social Network: Application to Handicraft Women Social Network,1.046,LIKELY_MATCH
JSQbyBgAAAAJ,Forex Investment Optimization Using Instantaneous Stochastic Gradient Ascent—Formulation of an Adaptive Machine Learning Approach,2022,3850,Forex Investment Optimization Using Instantaneous Stochastic Gradient Ascent—Formulation of an Adaptive Machine Learning Approach,1.046,LIKELY_MATCH
JSQbyBgAAAAJ,A modified vision transformer framework for image-based land cover segmentation in rural architectural design and planning,2025,3853,A modified vision transformer framework for image-based land cover segmentation in rural architectural design and planning,1.046,LIKELY_MATCH
JSQbyBgAAAAJ,"Hybrid MRUNet+: Enhanced Multi‐Structure Retinal Segmentation for Optic Cup, Disc, and Vascular Features in Complex Imaging Conditions",2026,3862,"Hybrid MRUNet+: Enhanced Multi‐Structure Retinal Segmentation for Optic Cup, Disc, and Vascular Features in Complex Imaging Conditions",1.046,LIKELY_MATCH
lURTCEIAAAAJ,Group extraction from professional social network using a new semi-supervised hierarchical clustering,2014,4610,Group extraction from professional social network using a new semi-supervised hierarchical clustering,1.045,LIKELY_MATCH
lURTCEIAAAAJ,A new semi-supervised hierarchical active clustering based on ranking constraints for analysts groupization,2013,4643,A new semi-supervised hierarchical active clustering based on ranking constraints for analysts groupization,1.045,LIKELY_MATCH
lURTCEIAAAAJ,Towards data warehouse schema design from social networks-dynamic discovery of multidimensional concepts,2015,4645,Towards data warehouse schema design from social networks-dynamic discovery of multidimensional concepts,1.045,LIKELY_MATCH
JSQbyBgAAAAJ,Explainable AI-driven intelligent system for precision forecasting in cardiovascular disease,2025,3832,Explainable AI-driven intelligent system for precision forecasting in cardiovascular disease,1.045,LIKELY_MATCH
JSQbyBgAAAAJ,Harnessing Machine Learning for Arabic COVID-19 Omicron News Classification: A Comparative Study.,2023,3859,Harnessing Machine Learning for Arabic COVID-19 Omicron News Classification: A Comparative Study.,1.045,LIKELY_MATCH
JSQbyBgAAAAJ,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Based on Hassanat Distance Metric,2024,3861,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Based on Hassanat Distance Metric,1.045,LIKELY_MATCH
lURTCEIAAAAJ,A survey of user-centric data warehouses: from personalization to recommendation,2011,4620,A survey of user-centric data warehouses: from personalization to recommendation,1.044,LIKELY_MATCH
lURTCEIAAAAJ,A formal algebra for document-oriented NoSQL data warehouses: formalisation and evaluation,2025,4678,A formal algebra for document-oriented NoSQL data warehouses: formalisation and evaluation,1.044,LIKELY_MATCH
lURTCEIAAAAJ,Extending ETL for NoSQL: A validated Framework for Document-Oriented Warehousing,2025,4706,Extending ETL for NoSQL: A validated Framework for Document-Oriented Warehousing,1.044,LIKELY_MATCH
lURTCEIAAAAJ,s% 긔 ccV: Semi-supervised Hierarchical Active Clustering Based on Ranking Constraints,2012,4718,s% 긔 ccV: Semi-supervised Hierarchical Active Clustering Based on Ranking Constraints,1.044,LIKELY_MATCH
JSQbyBgAAAAJ,Aspect-Based Sentiment Analysis for Social Multimedia: A Hybrid Computational Framework.,2023,3833,Aspect-Based Sentiment Analysis for Social Multimedia: A Hybrid Computational Framework.,1.044,LIKELY_MATCH
JSQbyBgAAAAJ,AI-Driven Innovations in Tourism: Developing a Hybrid Framework for the Saudi Tourism Sector,2025,3839,AI-Driven Innovations in Tourism: Developing a Hybrid Framework for the Saudi Tourism Sector,1.044,LIKELY_MATCH
JSQbyBgAAAAJ,An optimal distribution of RSU for improving self-driving vehicle connectivity,2022,3841,An optimal distribution of RSU for improving self-driving vehicle connectivity,1.044,LIKELY_MATCH
JSQbyBgAAAAJ,Brain tumor classification using GAN-augmented data with autoencoders and Swin Transformers,2025,3848,Brain tumor classification using GAN-augmented data with autoencoders and Swin Transformers,1.044,LIKELY_MATCH
JSQbyBgAAAAJ,Uncovering Temporal Trends of Desolation Among Social Media Users: A Data-Driven Analysis,2026,3867,Uncovering Temporal Trends of Desolation Among Social Media Users: A Data-Driven Analysis,1.044,LIKELY_MATCH
lURTCEIAAAAJ,Two-ETL phases for data warehouse creation: Design and implementation,2015,4627,Two-ETL phases for data warehouse creation: Design and implementation,1.043,LIKELY_MATCH
lURTCEIAAAAJ,: Semi-supervised Hierarchical Active Clustering Based on Ranking Constraints,2012,4630,: Semi-supervised Hierarchical Active Clustering Based on Ranking Constraints,1.043,LIKELY_MATCH
lURTCEIAAAAJ,Towards cloud-based data warehouse as a service for big data analytics,2016,4631,Towards cloud-based data warehouse as a service for big data analytics,1.043,LIKELY_MATCH
lURTCEIAAAAJ,Usage Des Mesures Pour La Génération Des Règles d'Associations Cycliques,2011,4720,Usage Des Mesures Pour La Génération Des Règles d'Associations Cycliques,1.043,LIKELY_MATCH
JSQbyBgAAAAJ,DeepSVDNet: A Deep Learning-Based Approach for Detecting and Classifying Vision-Threatening Diabetic Retinopathy in Retinal Fundus Images,2024,3831,DeepSVDNet: A Deep Learning-Based Approach for Detecting and Classifying Vision-Threatening Diabetic Retinopathy in Retinal Fundus Images,1.043,LIKELY_MATCH
JSQbyBgAAAAJ,Intelligent Mobile Coronavirus Recognition Centre Based on IEEE 802.15. 4.,2021,3851,Intelligent Mobile Coronavirus Recognition Centre Based on IEEE 802.15. 4.,1.043,LIKELY_MATCH
