PaperID,Title,PubYear,Source,DOI,citation_id,authors_text,authorships_names,authorships_orcids
7038,Generalizations of Hilbert-type inequalities with a homogeneous kernel on time scales,2026,OpenAlex,10.1186/s13660-026-03433-8,,"Karim A. Mohamed, Haytham M. Rezk, A. M. Ahmed, Belal A. Glalah","""[\""Karim A. Mohamed\"", \""Haytham M. Rezk\"", \""A. M. Ahmed\"", \""Belal A. Glalah\""]""","""[null, \""https://orcid.org/0000-0001-6782-7908\"", \""https://orcid.org/0000-0002-5829-5038\"", null]"""
7039,A GENERALIZED OSTROWSKI INEQUALITY FOR BOUNDED VARIATION FUNCTIONS ON TIME SCALES WITH APPLICATIONS,2026,OpenAlex,10.1007/s10958-026-08195-8,,"Karim A. Mohamed, Haytham M. Rezk, A. M. Ahmed, Belal A. Glalah","""[\""Karim A. Mohamed\"", \""Haytham M. Rezk\"", \""A. M. Ahmed\"", \""Belal A. Glalah\""]""","""[null, \""https://orcid.org/0000-0001-6782-7908\"", \""https://orcid.org/0000-0002-5829-5038\"", null]"""
7043,The American Sovereign Debt: The Most Dangerous Driver of Global Politics Today,2026,OpenAlex,10.5281/zenodo.19551378,,Ahmed Ahmed,"""[\""Ahmed Ahmed\""]""","""[\""https://orcid.org/0000-0002-0577-3235\""]"""
7044,EBV-positive CD8 + peripheral T-cell lymphoma in the post-transplant setting: case report and review of the literature,2026,OpenAlex,10.1007/s12308-026-00694-6,,"Ahmed Ahmed, Shanxiang Zhang, Arash Ronaghy, Safina Hafeez, Dinesh Pradhan, Neha Gupta","""[\""Ahmed Ahmed\"", \""Shanxiang Zhang\"", \""Arash Ronaghy\"", \""Safina Hafeez\"", \""Dinesh Pradhan\"", \""Neha Gupta\""]""","""[\""https://orcid.org/0000-0002-0577-3235\"", null, \""https://orcid.org/0000-0001-8870-7139\"", \""https://orcid.org/0000-0002-7453-5206\"", null, null]"""
7045,Rapidly Enlarging Indurated and Ulcerated Nodules in an Elderly Woman,2026,OpenAlex,10.1097/dad.0000000000003244,,"Ahmed Ahmed, Joseph D. Khoury, Ketav R. Desai, Dinesh Pradhan","""[\""Ahmed Ahmed\"", \""Joseph D. Khoury\"", \""Ketav R. Desai\"", \""Dinesh Pradhan\""]""","""[\""https://orcid.org/0000-0002-0577-3235\"", \""https://orcid.org/0000-0003-2621-3584\"", null, \""https://orcid.org/0000-0001-8591-1601\""]"""
7046,Primary Cutaneous Gamma-Delta T-Cell Lymphoma With Aberrant CD20 Expression: Answer,2026,OpenAlex,10.1097/dad.0000000000003245,,"Ahmed Ahmed, Joseph D. Khoury, Ketav R. Desai, Dinesh Pradhan","""[\""Ahmed Ahmed\"", \""Joseph D. Khoury\"", \""Ketav R. Desai\"", \""Dinesh Pradhan\""]""","""[\""https://orcid.org/0000-0002-0577-3235\"", \""https://orcid.org/0000-0003-2621-3584\"", null, \""https://orcid.org/0000-0001-8591-1601\""]"""
7047,Collision Tumors Involving Metastatic Carcinoma and Plasma Cell Myeloma: Report of Two Cases,2026,OpenAlex,10.1155/crip/9279261,,"Ahmed Ahmed, Muhammad Hassaan Khalid, Asad Ur Rehman, Nghia Nguyen, Xinhai R. Zhang","""[\""Ahmed Ahmed\"", \""Muhammad Hassaan Khalid\"", \""Asad Ur Rehman\"", \""Nghia Nguyen\"", \""Xinhai R. Zhang\""]""","""[\""https://orcid.org/0000-0002-0577-3235\"", null, null, null, \""https://orcid.org/0000-0001-7524-2547\""]"""
7048,Classic Hodgkin lymphoma with <i>IGH</i> :: <i>CCND1</i> rearrangement: evidence of clonal relation to preceding mantle cell lymphoma,2026,OpenAlex,10.1182/blood.2025032107,,"Ahmed Ahmed, Saber Tadros","""[\""Ahmed Ahmed\"", \""Saber Tadros\""]""","""[\""https://orcid.org/0000-0002-0577-3235\"", \""https://orcid.org/0000-0002-2887-6122\""]"""
7163,MVRepairAI: A Machine Learning-Based System to Predict Surgical Methods in Mitral Valve Repair,2026,OpenAlex,10.1016/j.xjon.2026.101805,,"Mohammed Alghamdi, Kémal Bori Bata, Nicolas Lellouche, Damien Vitiello, Pascal Leprince, Gabriel Saiydoun","""[\""Mohammed Alghamdi\"", \""K\u00e9mal Bori Bata\"", \""Nicolas Lellouche\"", \""Damien Vitiello\"", \""Pascal Leprince\"", \""Gabriel Saiydoun\""]""","""[\""https://orcid.org/0000-0002-9794-554X\"", null, null, \""https://orcid.org/0000-0003-3048-1880\"", null, \""https://orcid.org/0000-0003-0630-8332\""]"""
7011,Stability analysis and extraction of newly cubic–quintic soliton wave structure for the generalized derivative resonant nonlinear Schrödinger equation through an analytical technique,2025,OpenAlex,10.1016/j.ijleo.2025.172412,,"Mona El-Hady, Hamdy M. Ahmed, A. M. Ahmed, Haytham M. Rezk, Wafaa B. Rabie","""[\""Mona El-Hady\"", \""Hamdy M. Ahmed\"", \""A. M. Ahmed\"", \""Haytham M. Rezk\"", \""Wafaa B. Rabie\""]""","""[\""https://orcid.org/0009-0004-1917-3689\"", \""https://orcid.org/0000-0001-8772-3663\"", \""https://orcid.org/0000-0002-5829-5038\"", \""https://orcid.org/0000-0001-6782-7908\"", \""https://orcid.org/0009-0001-1696-1266\""]"""
7041,Mucoepidermoid Carcinoma Presented as a Lymph Node Metastasis in 9-Year-Old Child: A Case Report.,2025,OpenAlex,,,"Ahmed Ahmed, Sibel Ak, Sara A. Amin, Nourhan Ibrahim, Mahmoud Elsayad",,
7042,Sarcomatoid Carcinoma Arising in the Gallbladder of a 58‐Year‐Old Female: Case Report,2025,OpenAlex,10.1155/crhe/5172834,,"Ahmed Ahmed, Yan Gao, Rossana Kazemimood","""[\""Ahmed Ahmed\"", \""Yan Gao\"", \""Rossana Kazemimood\""]""","""[\""https://orcid.org/0000-0002-0577-3235\"", \""https://orcid.org/0000-0002-7253-5309\"", \""https://orcid.org/0000-0003-1901-5520\""]"""
7052,Comprehensive thermal analysis of a nano-enhanced PCM in a finned latent heat storage system,2025,OpenAlex,10.1016/j.icheatmasstransfer.2025.109106,,"Ilias Benyahia, Mohammed Alghamdi, Aissa Abderrahmane, Obai Younis, Samir Laouedj, Kamel Guedri, Ali Alahmer","""[\""Ilias Benyahia\"", \""Mohammed Alghamdi\"", \""Aissa Abderrahmane\"", \""Obai Younis\"", \""Samir Laouedj\"", \""Kamel Guedri\"", \""Ali Alahmer\""]""","""[\""https://orcid.org/0009-0002-5235-1147\"", \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0003-0255-275X\"", \""https://orcid.org/0000-0002-1701-9387\"", \""https://orcid.org/0000-0003-3251-0550\"", null, \""https://orcid.org/0000-0002-2994-1504\""]"""
7060,The Effects of Functional Electrical Stimulation of Hip Abductor and Tibialis Anterior Muscles on Standing and Gait Characteristics in Patients with Stroke,2025,OpenAlex,10.3390/jcm14072309,,"Sami S. AlAbdulwahab, Abdulaziz S. Aldhaferi, Abdulrahman M. Alsubiheen, Sultan H. Alharbi, Fahad H. Alotaibi, Mohammed Alghamdi, Abdulrahman Basonbul, Atta El Sousai, Mohammed M. Al‐Harbi, Muneera M. Almurdi","""[\""Sami S. AlAbdulwahab\"", \""Abdulaziz S. Aldhaferi\"", \""Abdulrahman M. Alsubiheen\"", \""Sultan H. Alharbi\"", \""Fahad H. Alotaibi\"", \""Mohammed Alghamdi\"", \""Abdulrahman Basonbul\"", \""Atta El Sousai\"", \""Mohammed M. Al\u2010Harbi\"", \""Muneera M. Almurdi\""]""","""[\""https://orcid.org/0000-0001-7772-067X\"", null, \""https://orcid.org/0000-0001-9891-3390\"", null, null, \""https://orcid.org/0000-0002-9794-554X\"", null, null, null, \""https://orcid.org/0000-0003-0904-1178\""]"""
7066,Solar-Thermal Process Intensification for Blue Hydrogen Production: Integrated Steam Methane Reforming with a Waste-Derived Red Mud Catalyst,2025,OpenAlex,10.3390/designs9060138,,"Taher Maatallah, Mussad Alzahrani, S. H. Hilal, Abdullah Saad Alsubaie, Mohammad S. Aljohani, Mohammed Alghamdi, Fouad Al-Mansour, Loay Awad, Y. Slimani, Sajid Ali","""[\""Taher Maatallah\"", \""Mussad Alzahrani\"", \""S. H. Hilal\"", \""Abdullah Saad Alsubaie\"", \""Mohammad S. Aljohani\"", \""Mohammed Alghamdi\"", \""Fouad Al-Mansour\"", \""Loay Awad\"", \""Y. Slimani\"", \""Sajid Ali\""]""","""[\""https://orcid.org/0000-0002-8822-0475\"", \""https://orcid.org/0000-0003-4573-6583\"", \""https://orcid.org/0009-0006-9952-2790\"", \""https://orcid.org/0000-0002-3503-5057\"", null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0002-6737-9217\"", \""https://orcid.org/0000-0001-8283-812X\"", \""https://orcid.org/0000-0002-2579-1617\"", \""https://orcid.org/0000-0003-3451-1047\""]"""
7074,Legendre based neural networks integrated with heuristic algorithms for the analysis of Lorenz chaotic model: an intelligent and comparative study,2025,OpenAlex,10.1038/s41598-025-91911-2,,"Khalid Masood, Muhammad Arshad, Muhammad Abubakar, Muhammad Naeem Aslam, Mohammed Alghamdi, Sultan H. Almotiri","""[\""Khalid Masood\"", \""Muhammad Arshad\"", \""Muhammad Abubakar\"", \""Muhammad Naeem Aslam\"", \""Mohammed Alghamdi\"", \""Sultan H. Almotiri\""]""","""[null, \""https://orcid.org/0000-0001-6949-3489\"", \""https://orcid.org/0000-0001-6902-6549\"", null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0003-1594-9115\""]"""
7075,"Knowledge of the human papilloma virus and acceptance of its vaccine among male and female young adults in Jeddah, Saudi Arabia: A cross-sectional study",2025,OpenAlex,10.1080/21645515.2025.2583609,,"Reema Alghamdi, Mohammed Alghamdi, Nada J. Farsi, Mohammad Alyafi, Shahad Alaidaroos, Nada Almuwalad, Raneem Alsaeedi, Kienaz Alshobaki, Rama Aljabri, Reem Aljadani, Razan Bajafar, Joud Aljuhani, Nisma Merdad, Roah Merdad","""[\""Reema Alghamdi\"", \""Mohammed Alghamdi\"", \""Nada J. Farsi\"", \""Mohammad Alyafi\"", \""Shahad Alaidaroos\"", \""Nada Almuwalad\"", \""Raneem Alsaeedi\"", \""Kienaz Alshobaki\"", \""Rama Aljabri\"", \""Reem Aljadani\"", \""Razan Bajafar\"", \""Joud Aljuhani\"", \""Nisma Merdad\"", \""Roah Merdad\""]""","""[null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0001-8762-2467\"", null, null, null, null, null, null, null, null, null, \""https://orcid.org/0000-0001-6518-3758\"", \""https://orcid.org/0000-0002-7257-0040\""]"""
7097,Primary intrarenal hemangioma – A series of 39 cases,2025,OpenAlex,10.1016/j.anndiagpath.2025.152436,,"Maria Faraz, Andrew Rosenzweig, Ángel Panizo, Sabina Hajiyeva, Nusret Bekir Subasi, Mohammed Alghamdi, Andrea A. Lightle, Levente Kuthi, Dóra Kelemen, Ankur R. Sangoi, Luiz M. Nova‐Camacho, María Garcia Martos, Mehrnaz Movassaghi, Anandi Lobo, Shilpy Jha, Kutsal Yörükoğlu, Busra Yaprak Bayrak, Sean ","""[\""Maria Faraz\"", \""Andrew Rosenzweig\"", \""\u00c1ngel Panizo\"", \""Sabina Hajiyeva\"", \""Nusret Bekir Subasi\"", \""Mohammed Alghamdi\"", \""Andrea A. Lightle\"", \""Levente Kuthi\"", \""D\u00f3ra Kelemen\"", \""Ankur R. Sangoi\"", \""Luiz M. Nova\u2010Camacho\"", \""Mar\u00eda Garcia Martos\"", \""Mehrnaz Movassaghi\"", \""Anandi Lobo\"", \""Shilpy Jha\"", \""Kutsal Y\u00f6r\u00fcko\u011flu\"", \""Busra Yaprak Bayrak\"", \""Sean R. Williamson\"", \""Swati Bhardwaj\"", \""Shivani Kandukuri\"", \""Seema Kaushal\"", \""Sambit K. Mohanty\"", \""Mahmut Akg\u00fcl\""]""","""[null, null, \""https://orcid.org/0000-0001-8405-7378\"", \""https://orcid.org/0009-0006-4075-1994\"", null, \""https://orcid.org/0000-0002-9794-554X\"", null, \""https://orcid.org/0000-0001-9247-6679\"", null, \""https://orcid.org/0000-0003-0874-8964\"", \""https://orcid.org/0000-0002-7625-7895\"", \""https://orcid.org/0000-0001-6150-7452\"", \""https://orcid.org/0000-0001-7185-217X\"", \""https://orcid.org/0000-0002-3051-8009\"", null, \""https://orcid.org/0000-0002-4099-0905\"", null, \""https://orcid.org/0000-0002-3898-1460\"", \""https://orcid.org/0000-0003-3294-0112\"", null, \""https://orcid.org/0000-0002-6190-5909\"", \""https://orcid.org/0000-0001-5094-2424\"", \""https://orcid.org/0000-0003-0929-0940\""]"""
7098,"A Cross-Sectional Survey Assessing Mental Health, Fatigue and Sleep Among Male Medical Students in Western Saudi Arabia During and After Examination Periods",2025,OpenAlex,10.47310/jpms2025140210,,"Wahaj A. Khan, Muhammad Ismail Shah, Mohammed Alghamdi, Abdullah A. AlZahrani, Abdullah Dukhail Al-Khathami, Abdullah Mohammed Al-Hutairishi, Hatim Matooq Badri, Hatim A. Natto, Mohamed Osman Elamin, Albaraa A. Milibari, Rakan Ekram","""[\""Wahaj A. Khan\"", \""Muhammad Ismail Shah\"", \""Mohammed Alghamdi\"", \""Abdullah A. AlZahrani\"", \""Abdullah Dukhail Al-Khathami\"", \""Abdullah Mohammed Al-Hutairishi\"", \""Hatim Matooq Badri\"", \""Hatim A. Natto\"", \""Mohamed Osman Elamin\"", \""Albaraa A. Milibari\"", \""Rakan Ekram\""]""","""[\""https://orcid.org/0000-0001-6330-785X\"", null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0001-7162-0256\"", \""https://orcid.org/0000-0003-4864-9821\"", null, \""https://orcid.org/0000-0003-4343-2738\"", \""https://orcid.org/0000-0003-2570-6264\"", \""https://orcid.org/0000-0002-9655-8206\"", null, null]"""
