الاسم, المرتبة,القسم,Google Scholar Link,scopus,ResearchGate,dblp,Frontiers Loop,ORCID,SciProfiles,webofscience
ابتسام احمد محمد الدربي العمري,أستاذ مساعد,علوم الحاسبات ,,,,,https://loop.frontiersin.org/people/3363775/publications,https://orcid.org/0000-0003-4781-1145,https://sciprofiles.com/profile/3454513,
ابراهيم احمد ابراهيم الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=-Ee7QMYAAAAJ,,,,,,,
أبو بكر يوسف ابو زيد المهدي,أستاذ مساعد,تقنية المعلومات ,,,,,,,,
احلام التهامي محمد النابلي,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=lURTCEIAAAAJ,,,,,,,
احمد جبران محمد ال شفلوت,أستاذ مشارك,تقنية المعلومات ,https://scholar.google.com/citations?user=3Wo0U6gAAAAJ,,,,,,,
احمد سعيد احمد ال شلاش الغامدي,محاضر,النظم والشبكات ,,,,,,,,
احمد سعيد صالح خلف,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=vySNGjYAAAAJ,,,,,,,
احمد عبدالرحمن محمد ال حابش الغامدي,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=9iW6AKAAAAAJ,,,,,,,
احمد عبدالله احمد القرني,أستاذ مشارك,تقنية المعلومات ,https://scholar.google.com/citations?user=WdKJwQUAAAAJ,,,,,,,
احمد علي محمد اليحياوي الشهري,أستاذ مساعد,تقنية المعلومات ,https://scholar.google.com/citations?user=AgM-jXIAAAAJ,,,,,,,
احمد محمود مصطفى يوسف,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=9NPfxXYAAAAJ,,,,,,,
أسماء عمر محمود هيكل,أستاذ مساعد,علوم الحاسبات ,,,,,,,,
اسماء عوض سحمي الغامدي,محاضر,النظم والشبكات ,,,,,,,,
اشواق محمد صالح الغامدي,معيد,النظم والشبكات ,,,,,,,,
إكرام محمد معلى,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=vRRerLEAAAAJ,,,,,,,
الترابي عثمان احمد حبيب,أستاذ مساعد,النظم والشبكات ,,,,https://dblp.org/pid/288/1674.html,,,,
الخاتم ابو اليسر المبارك,أستاذ مساعد,تقنية المعلومات ,,,,,,,,
امال حمادي حميده سليمان,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=_Eyk9OwAAAAJ,,,,,,,
امل صالح احمد خميس الزهراني,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=JjdcEvwAAAAJ,,,,,,,
انس ضيف الله محمد ال مسعود الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=KYuBRVIAAAAJ,,,,,,,
انور سعيد صالح السكاري الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=SknhXP0AAAAJ,,,,,,,
ايهاب عبدالحي محمد عثمان,أستاذ مساعد,تقنية المعلومات ,,,,,,,,
بدر عبدالرحمن علي القحطاني الغامدي,أستاذ مساعد,تقنية المعلومات ,https://scholar.google.com/citations?user=xXziNLwAAAAJ,,,,,,,
بدين محمد الأمين كريم,أستاذ مساعد,تقنية المعلومات ,https://scholar.google.com/citations?user=7INLDbgAAAAJ,,,,,,,
بشرى سعيد علي الغامدي,معيد,هندسة البرمجيات ,,,,,,,,
تغريد حمود محمد الغامدي,معيد,علوم الحاسبات ,,,,,,,,
تغريد عبدالوهاب محمد الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=32NV4n4AAAAJJ,,,,,,,
توفيق صالح ذاكر الغامدي,معيد,علوم الحاسبات ,,,,,,,,
حامد محمد الخرش الغامدي,محاضر,علوم الحاسبات ,,,,,,,,
حسن عبدالله أحمد الغامدي,أستاذ مشارك,النظم والشبكات ,https://scholar.google.com/citations?user=RHTOwC4AAAAJ,,,,,,,
حسن عقيل عطاس الخيري,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=jDrt2XUAAAAJ,,,,,,,
حسين مطلق هادي النجراني,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=ptKLscwAAAAJ,,,,,,,
حنين سعيد عطيه الزهراني,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=nFRRYg0AAAAJ,,,,,,,
خالد يحيى عبدالله ابوراس الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=_kZy3d8AAAAJ,,,,,,,
رامي جمعان سعيد الزهراني,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=IzsoS9MAAAAJ,,,,,,,
ربيع عبدالله ربيع الغامدي,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=iHvu2-YAAAAJ,,,,,,,
رحمات سارجان بوديارتو بودياتو,أستاذ,علوم الحاسبات ,https://scholar.google.com/citations?user=Qi24UpwAAAAJ,,,,,,,
رزان عبدالعزيز محمد الزهراني,معيد,النظم والشبكات ,,,,,,,,
ريم حجاج ابراهيم حامد الجوفي,أستاذ مساعد,علوم الحاسبات ,,,https://www.researchgate.net/profile/Reem-Aljoufi,,,,,
سامي عبدالرحمن محمد الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=CiEU7s8AAAAJ,,,,,,,
ساميه عبدالكريم عيسى الغامدي,محاضر,تقنية المعلومات ,,,,,,,,
سعد ضيف الله حمود القثامي,أستاذ مشارك,علوم الحاسبات ,,,https://www.researchgate.net/profile/Saad-Alqithami,,,https://orcid.org/0000-0002-2111-3456,https://sciprofiles.com/profile/alqithami,https://www.webofscience.com/wos/author/record/F-6616-2012
سليمان علي عبدان الزهراني,محاضر,النظم والشبكات ,,,,,,,,
سميه علي محمد الغامدي,محاضر,علوم الحاسبات ,,,,,,,,
سنيه سعيد محمد اللجمي,أستاذ مساعد,تقنية المعلومات ,https://scholar.google.com/citations?user=T-Y70l4AAAAJ,,,,,,,
صفاء يوسف سليم الردادي,محاضر,علوم الحاسبات ,,,,,,,,
طارق سعيد علي رافع الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=KrKdKUoAAAAJ,,,,,,,
طامي عبدالرحمن غرم الله الوجيه,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=j0x7Nv8AAAAJ,,,,,,,
ظافر علي فايز الشهري,معيد,تقنية المعلومات ,,,,,,,,
عادل فهد عتيق العرابي الحارثي,أستاذ,علوم الحاسبات ,https://scholar.google.com/citations?user=0_1pixgAAAAJ,,,,,,,
عبدالحنان عبدالمنان شيخ,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=blwPeXQAAAAJ,,,,,,,
عبدالعزيز احمد علي الوقداني,معيد,علوم الحاسبات ,,,,,,,,
عبدالعزيز سعيد عطيه ال حسين العمري,أستاذ مساعد,علوم الحاسبات ,,,,,,,,
عبدالعزيز مرعي مسفر الخزمري الزهراني,معيد,علوم الحاسبات ,,,,,,,,
عبدالكريم عوضه سعدي الحريري الزهراني,أستاذ مشارك,علوم الحاسبات ,https://scholar.google.com/citations?user=JSQbyBgAAAAJ,,,,,,,
عبدالله احمد عبدالله الشهري,أستاذ مشارك,تقنية المعلومات ,https://scholar.google.com/citations?user=0N86D0QAAAAJ,,,,,,,
عبدالله سعد مسفر الزهراني,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=ac8DjxMAAAAJ,,,,,,,
عبدالله سعيد ابراهيم الغتمي الغامدي,محاضر,علوم الحاسبات ,https://scholar.google.com/citations?user=UFX6LxEAAAAJ,,,,,,,
عبدالله علي عبدالله قشاش الغامدي,محاضر,علوم الحاسبات ,,,,,,,,
عبدالله محمد عبدالهادي خطاب,أستاذ مساعد,علوم الحاسبات ,,,,,,,,
